"social","econ","service","immigration","education","destination","candidate","id","age","gender","ideology","likely","interest","aus","can","us"
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",1,1,30,27,"Male",2,7,7,7,6,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,31,27,"Female",4,7,7,7,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,32,34,"Female",3,3,5,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,33,23,"Male",6,7,4,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,34,27,"Female",6,7,7,6,5,1
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,35,20,"Male",0,6,7,6,7,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,36,38,"Female",5,4,5,6,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,37,20,"Male",1,4,5,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,38,34,"Male",4,5,7,5,5,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,39,24,"Male",0,6,7,1,3,1
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,40,21,"Male",4,7,6,5,7,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,41,24,"Male",7,7,7,7,7,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,42,24,"Female",3,3,6,1,2,2
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,43,40,"Male",7,4,6,6,6,6
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,44,20,"Female",4,4,7,2,6,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,45,27,"Female",5,6,6,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,46,22,"Female",6,6,6,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,47,24,"Male",3,5,6,5,5,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,48,24,"Male",4,5,6,6,5,7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,49,21,"Female",1,6,7,4,6,1
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,50,29,"Female",6,6,6,5,4,3
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,51,20,"Male",8,7,7,5,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,52,33,"Female",7,2,3,4,5,3
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",1,1,53,21,"Male",3,4,6,7,6,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,54,26,"Male",6,7,7,5,6,3
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,55,23,"Male",3,6,7,6,5,3
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,56,25,"Female",5,7,7,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,1,57,26,"Male",5,3,2,1,1,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,58,19,"Female",1,3,4,5,5,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,59,21,"Male",7,6,6,7,5,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,60,22,"Male",7,4,5,4,5,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,61,25,"Female",3,2,6,5,6,4
