"social","econ","service","country","education","destination","candidate","c.same","id","age","gender","ideology","likely","interest","aus","can","us"
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,1,0,21,28,"Female",4,7,7,5,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",1,1,0,22,19,"Male",3,2,5,5,6,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,1,0,23,20,"Female",6,6,3,3,4,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,1,0,24,31,"Female",1,7,7,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,1,0,25,21,"Female",5,7,3,3,5,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,1,0,26,22,"Female",5,2,5,5,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",1,1,0,27,22,"Female",4,7,5,5,7,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,1,1,28,28,"Male",4,5,6,5,5,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,1,0,29,23,"Male",5,7,7,7,7,7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,1,0,30,27,"Male",2,7,7,7,6,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,1,0,31,27,"Female",4,7,7,7,6,4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,1,1,32,34,"Female",3,3,5,5,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,1,1,33,23,"Male",6,7,4,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,1,0,34,27,"Female",6,7,7,6,5,1
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,1,1,35,20,"Male",0,6,7,6,7,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,1,1,36,38,"Female",5,4,5,6,6,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,1,0,37,20,"Male",1,4,5,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,1,0,38,34,"Male",4,5,7,5,5,4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 40th Percentile",0,1,0,39,24,"Male",0,6,7,1,3,1
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,1,0,40,21,"Male",4,7,6,5,7,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",1,1,1,41,24,"Male",7,7,7,7,7,7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,1,0,42,24,"Female",3,3,6,1,2,2
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",0,1,0,43,40,"Male",7,4,6,6,6,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 90th Percentile",0,1,1,44,20,"Female",4,4,7,2,6,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,1,0,45,27,"Female",5,6,6,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 60th Percentile",1,1,0,46,22,"Female",6,6,6,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 60th Percentile",0,1,0,47,24,"Male",3,5,6,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,1,0,48,24,"Male",4,5,6,6,5,7
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",0,1,1,49,21,"Female",1,6,7,4,6,1
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,1,1,50,29,"Female",6,6,6,5,4,3
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,1,0,51,20,"Male",8,7,7,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,1,0,52,33,"Female",7,2,3,4,5,3
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Australia","Average international ranking of universities: 60th Percentile",0,1,1,53,21,"Male",3,4,6,7,6,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",0,1,0,54,26,"Male",6,7,7,5,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,1,1,55,23,"Male",3,6,7,6,5,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Canada","Average international ranking of universities: 40th Percentile",1,1,0,56,25,"Female",5,7,7,6,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,1,0,57,26,"Male",5,3,2,1,1,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 90th Percentile",1,1,0,58,19,"Female",1,3,4,5,5,3
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Canada","Average international ranking of universities: 40th Percentile",0,1,0,59,21,"Male",7,6,6,7,5,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","U.S.A.","Average international ranking of universities: 90th Percentile",1,1,1,60,22,"Male",7,4,5,4,5,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Australia","Average international ranking of universities: 40th Percentile",1,1,1,61,25,"Female",3,2,6,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Australia","Average international ranking of universities: 40th Percentile",0,1,0,62,19,"Female",3,5,6,4,6,3
